InversJarakAntarKota
Infinity ,0.009778344 ,0.01247863 ,0.01788036 ,0.0638884 ,0.02793477 ,0.0162545 ,0.01421841 ,0.01705063 ,
0.009778344 ,Infinity ,0.02020388 ,0.0121865 ,0.01091272 ,0.01447023 ,0.01752709 ,0.02755333 ,0.02169606 ,
0.01247863 ,0.02020388 ,Infinity ,0.02655034 ,0.01533795 ,0.01635431 ,0.0142791 ,0.01913743 ,0.03360457 ,
0.01788036 ,0.0121865 ,0.02655034 ,Infinity ,0.02465563 ,0.01790986 ,0.0129124 ,0.01453562 ,0.02422074 ,
0.0638884 ,0.01091272 ,0.01533795 ,0.02465563 ,Infinity ,0.03164557 ,0.01697793 ,0.01591712 ,0.02160312 ,
0.02793477 ,0.01447023 ,0.01635431 ,0.01790986 ,0.03164557 ,Infinity ,0.03663003 ,0.02859343 ,0.03086995 ,
0.0162545 ,0.01752709 ,0.0142791 ,0.0129124 ,0.01697793 ,0.03663003 ,Infinity ,0.04574731 ,0.02416306 ,
0.01421841 ,0.02755333 ,0.01913743 ,0.01453562 ,0.01591712 ,0.02859343 ,0.04574731 ,Infinity ,0.03590045 ,
0.01705063 ,0.02169606 ,0.03360457 ,0.02422074 ,0.02160312 ,0.03086995 ,0.02416306 ,0.03590045 ,Infinity ,

